"state_code","county_code","site_number","local_site_name","address","city_name","county_name","cbsa_name","monitoring_agency","elevation","latitude","longitude","Site_Established","Years_Active","Pollutants","Status","Site_Closed"
"28","045","8108","Site 8108","CORNER OF CENTRAL AVE. AND COLEMAN AVE.","Waveland","Hancock","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",25,30.286737,-89.3743,2006-04-05,0.2,"PM10, PM2.5","Closed",2006-06-11
"28","045","8201","STENNIS, MS","Bldg 9800, Stennis Space Center","Not in a city","Hancock","Gulfport-Biloxi-Pascagoula, MS","US EPA - Region 4",25,30.393193,-89.580378,2005-09-30,0.7,"PM2.5","Closed",2006-06-11
"28","047","0002","Site 0002","RAILROAD STREET","Biloxi","Harrison","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",8,30.398008,-88.881995,1973-01-01,3.5,"SO2","Closed",1976-07-01
"28","047","0003","Site 0003","RT 5 BOX 1000 BILOXI, MS  39532","Biloxi","Harrison","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",11,30.43492,-88.9467,1976-01-01,10.5,"SO2","Closed",1986-06-30
"28","047","0004","Site 0004","MILL RD.","Gulfport","Harrison","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",6,30.406619,-89.038388,1977-01-01,1.5,"SO2","Closed",1978-07-01
"28","047","0005","Site 0005","LORRAINE ROAD AT COALVILLE GROCERY","Gulfport","Harrison","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",14,30.466864,-88.998924,1979-01-01,2.4,"SO2","Closed",1981-05-31
"28","047","0006","Site 0006","100LMARKET AND JOHN LEE RD","Gulfport","Harrison","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",14,30.472141,-88.995868,1981-06-01,1.6,"SO2","Closed",1982-12-31
"28","047","0007","Site 0007","11397 HELEN RICHARDS DR","North Gulfport (census name for West Gulfport)","Harrison","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",10,30.447003,-89.029175,1988-04-21,16.7,"SO2","Closed",2004-12-31
"28","047","0008","Gulfport Youth Court","47 Maple Street","Gulfport","Harrison","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",0,30.390369,-89.049778,1999-04-01,27,"Ozone, PM2.5","Active",NA
"28","047","0009","NEXT TO THE LIZANA FIRE STATION #2","20121 W.WORTHAM RD.","Not in a City","Harrison","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",0,30.566944,-89.180556,2001-08-03,4.2,"Ozone","Closed",2005-10-31
"28","047","1002","Site 1002","2720 33RD AVENUE - ARMY RESERVE CENTER","Gulfport","Harrison","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",8,30.381864,-89.101149,1973-09-01,3.8,"SO2","Closed",1977-07-01
"28","047","1003","Site 1003","NR THE INTERSCTN OF EVA & PINE DR","Gulfport","Harrison","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",11,30.449086,-89.022536,1976-07-01,11.7,"SO2","Closed",1988-03-31
"28","047","8101","LONG BEACH FIRE STATION NO. 1","645 Klondyke Road","Long Beach","Harrison","Gulfport-Biloxi-Pascagoula, MS","US EPA - Region 4",25,30.373678,-89.15513,2005-10-01,0.7,"PM2.5","Closed",2006-06-04
"28","047","8102","UNIFIED COMMAND CENTER; LATIMER ROAD BURN SITE","12451 Dedeaux Road","Gulfport","Harrison","Gulfport-Biloxi-Pascagoula, MS","US EPA - Region 4",25,30.449005,-89.052683,2005-10-01,0.5,"PM2.5","Closed",2006-04-03
"28","047","8103","BILOXI FIRE STATION NO. 8","8479 Woolmarket Road","Biloxi","Harrison","Gulfport-Biloxi-Pascagoula, MS","US EPA - Region 4",25,30.470916,-88.9827,2005-10-01,0.7,"PM2.5","Closed",2006-06-14
"28","047","8106","Site 8106","CORNER OF DIVISION AND LEE STREET","Biloxi","Harrison","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",25,30.40288,-88.87987,2006-04-05,0.1,"PM10, PM2.5","Closed",2006-05-11
"28","047","8107","Site 8107","CORNER OF WEST NORTH STREET AND PIRATE COVE","Pass Christian","Harrison","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",25,30.319695,-89.267386,2006-04-05,0.2,"PM10, PM2.5","Closed",2006-06-11
"28","049","0003","Site 0003","505 JOHN HART STREET","Jackson","Hinds","Jackson, MS","Mississippi DEQ, Office Of Pollution",85,32.302368,-90.186755,1970-01-01,22,"NO2, Ozone, PM10, SO2","Closed",1991-12-31
"28","049","0007","Site 0007","2802 KINGSWOOD AVE.","Jackson","Hinds","Jackson, MS","Mississippi DEQ, Office Of Pollution",94,32.267925,-90.2112,1973-04-01,26,"PM10, SO2","Closed",1999-03-31
"28","049","0008","Site 0008","4531 HWY 80 WEST","Jackson","Hinds","Jackson, MS","Mississippi DEQ, Office Of Pollution",107,32.307121,-90.262037,1973-01-01,6.7,"SO2","Closed",1979-10-01
"28","049","0009","Site 0009","COR OF BEASLEY RD. & WATKINS DRIVE","Jackson","Hinds","Jackson, MS","Mississippi DEQ, Office Of Pollution",98,32.383508,-90.201758,1973-01-01,2.2,"SO2","Closed",1975-04-01
"28","049","0010","Jackson FS19","5810 Ridgewood Rd","Jackson","Hinds","Jackson, MS","Mississippi DEQ, Office Of Pollution",90,32.385731,-90.1412,1975-04-01,40,"CO, NO2, Ozone, PM2.5, SO2","Closed",2015-03-31
"28","049","0011","Site 0011","FOREST AVE.","Jackson","Hinds","Jackson, MS","Mississippi DEQ, Office Of Pollution",119,32.371564,-90.215091,1978-01-01,1,"SO2","Closed",1979-01-01
"28","049","0013","Site 0013"," INTERSTATE 55 NORTH","Jackson","Hinds","Jackson, MS","Mississippi DEQ, Office Of Pollution",0,32.338478,-90.162309,1979-01-01,4.2,"CO","Closed",1983-03-31
"28","049","0016","Site 0016","    SOUTH LAMAR ST","Jackson","Hinds","Jackson, MS","Mississippi DEQ, Office Of Pollution",88,32.300146,-90.185921,1983-04-01,8,"CO","Closed",1991-03-26
"28","049","0017","Site 0017","300 BLOCK N. LAMAR ST.","Jackson","Hinds","Jackson, MS","Mississippi DEQ, Office Of Pollution",98,32.30209,-90.186755,1980-09-01,11.3,"CO, SO2","Closed",1991-12-31
"28","049","0018","Site 0018","Court and Farrish Streets","Jackson","Hinds","Jackson, MS","Mississippi DEQ, Office Of Pollution",0,32.296952,-90.188394,1992-02-01,14.3,"CO, PM10, PM2.5, SO2","Closed",2006-05-31
"28","049","0019","University Medical Center","University of Mississippi Medical Center Drive","Jackson","Hinds","Jackson, MS","Mississippi DEQ, Office Of Pollution",106,32.33037,-90.166201,2009-10-01,2.7,"CO, Ozone, PM10, PM2.5, SO2","Closed",2012-07-01
"28","049","0020","Jackson NCORE","232 East Woodrow Wilson Drive","Jackson","Hinds","Jackson, MS","Mississippi DEQ, Office Of Pollution",106,32.329111,-90.182722,2013-07-01,12.8,"CO, NO2, Ozone, PM10, PM2.5, SO2","Active",NA
"28","049","0021","Hinds CC","3925 Sunset Drive","Jackson","Hinds","Jackson, MS","Mississippi DEQ, Office Of Pollution",106,32.346722,-90.225667,2015-04-01,11,"Ozone, PM2.5","Active",NA
"28","059","0001","Site 0001","GUL; RES LAB OCEAN SPRINGS,MS","Not in a city","Jackson","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",3,30.391866,-88.811971,1970-01-01,7.5,"NO2, SO2","Closed",1977-07-01
"28","059","0002","Site 0002","ORANGE GROVE BRANCH JACKSON COUNTY HEALT","Not in a City","Jackson","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",8,30.423562,-88.456705,1973-01-01,4.5,"SO2","Closed",1977-07-01
"28","059","0003","Site 0003","UNITED GAS PIPELINE STATION ON HWY 63","Not in a city","Jackson","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",12,30.555752,-88.560852,1979-01-01,2,"SO2","Closed",1980-12-31
"28","059","0004","Site 0004","2503 OLD MOBILE AVE.,PASCAGOULA,MS.","Pascagoula","Jackson","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",9,30.368256,-88.538071,1977-01-01,0.5,"SO2","Closed",1977-07-01
"28","059","0005","Site 0005","JACKSON CO.AIRPORT","Pascagoula","Jackson","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",8,30.381033,-88.493625,1977-01-01,15.4,"Ozone, SO2","Closed",1992-05-31
"28","059","0006","Pascagoula","Hospital Road at Co. Health Dept.","Pascagoula","Jackson","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",0,30.378287,-88.53393,1992-08-14,33.7,"NO2, Ozone, PM10, PM2.5, SO2","Active",NA
"28","059","0007","NEXT TO THE JACKSON CO. TECHNOLOGY CENTER","HWY 57 VANCLEAVE","Not in a City","Jackson","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",0,30.522778,-88.708611,2001-05-10,4.5,"Ozone","Closed",2005-10-31
"28","059","1001","Site 1001","FIRE STATION DENNY AVENUE","Moss Point","Jackson","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",8,30.412452,-88.538652,1973-01-01,4.5,"Ozone, SO2","Closed",1977-07-01
"28","059","1002","Site 1002","MARKET STREET FIRE STATION","Pascagoula","Jackson","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",9,30.360787,-88.548374,1973-01-01,4,"SO2","Closed",1976-12-31
"28","059","1003","Site 1003","4906 WASHINGTON AVE","Pascagoula","Jackson","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",5,30.346343,-88.512818,1973-01-01,5,"SO2","Closed",1978-01-01
"28","067","0002","Laurel","26 Mason St.","Laurel","Jones","Laurel, MS","Mississippi DEQ, Office Of Pollution",79,31.688638,-89.135115,1973-07-01,39.5,"PM10, PM2.5, SO2","Closed",2012-12-31
"28","067","0003","Site 0003","2929 OLD BAY SPRINGS RD","Laurel","Jones","Laurel, MS","Mississippi DEQ, Office Of Pollution",103,31.723772,-89.13839,1976-01-01,8,"SO2","Closed",1983-12-31
"28","073","0001","Site 0001","LUMBERTON NAT'L GUARD ARMORY","Lumberton","Lamar","Hattiesburg, MS","Mississippi DEQ, Office Of Pollution",79,31.002157,-89.448679,1973-01-01,4.5,"SO2","Closed",1977-07-01
"28","073","0002","Site 0002","HWY 98 & OAK GROVE RD.","Not in a city","Lamar","Hattiesburg, MS","Mississippi DEQ, Office Of Pollution",131,31.319341,-89.409509,1980-06-01,13.1,"Ozone","Closed",1993-06-21
"28","073","0720","Site 0720","HWY 98 & OAK GROVE RD.","Not in a city","Lamar","Hattiesburg, MS","Mississippi DEQ, Office Of Pollution",0,31.319341,-89.409509,1980-06-01,10.5,"Ozone","Closed",1990-11-30
"28","075","0001","Site 0001","1319 23RD AVE.","Meridian","Lauderdale","Meridian, MS","Mississippi DEQ, Office Of Pollution",116,32.371009,-88.704769,1973-01-01,4.5,"SO2","Closed",1977-07-01
"28","075","0002","Site 0002","1401 25TH AVE","Meridian","Lauderdale","Meridian, MS","Mississippi DEQ, Office Of Pollution",122,32.37181,-88.703378,1974-10-01,22.2,"Ozone, SO2","Closed",1996-11-30
"28","075","0003","Meridian","Hwy 19 and 53rd Ave","Meridian","Lauderdale","Meridian, MS","Mississippi DEQ, Office Of Pollution",102,32.364565,-88.731491,1997-04-16,29,"Ozone, PM2.5","Active",NA
"28","075","0733","Site 0733","1401 25TH AVE.","Meridian","Lauderdale","Meridian, MS","Mississippi DEQ, Office Of Pollution",0,32.37181,-88.706989,1984-03-01,6.7,"Ozone","Closed",1990-11-30
"28","081","0002","Site 0002","320 N FRONT ST","Tupelo","Lee","Tupelo, MS","Mississippi DEQ, Office Of Pollution",92,34.261218,-88.703109,1973-09-01,3.8,"SO2","Closed",1977-07-01
"28","081","0003","Site 0003","WATER TANK NEW HWY 45","Not in a city","Lee","Tupelo, MS","Mississippi DEQ, Office Of Pollution",98,34.194275,-88.711441,1989-06-01,8.4,"Ozone","Closed",1997-10-31
"28","081","0004","TVA PSD SITE IN TUPELO, MS","JACKSON ST.","Tupelo","Lee","Tupelo, MS","Tennessee Valley Authority",107,34.263333,-88.759722,1997-01-01,1,"NO2, Ozone, PM10, SO2","Closed",1997-12-31
"28","081","0005","TUPELO AIRPORT NEAR OLD NWS OFFICE","West Jackson at Tupelo Airport","Tupelo","Lee","Tupelo, MS","Mississippi DEQ, Office Of Pollution",107,34.264917,-88.766222,1998-01-01,28.3,"Ozone, PM10, PM2.5","Active",NA
"28","081","0738","Site 0738","WATER TANK NEW HWY 45","Not in a city","Lee","Tupelo, MS","Mississippi DEQ, Office Of Pollution",0,34.194275,-88.711441,1989-06-01,1.5,"Ozone","Closed",1990-11-30
"28","087","0001","Site 0001","John Clayton Fant Mem Lib Msuw","Columbus","Lowndes","Columbus, MS","Mississippi DEQ, Office Of Pollution",61,33.491121,-88.418567,1999-03-07,10.8,"PM2.5","Closed",2009-12-31
"28","087","0722","Site 0722","SHRINEWOOD & COUNTY RD.","Not in a city","Lowndes","Columbus, MS","Mississippi DEQ, Office Of Pollution",0,33.582061,-88.406151,1980-10-01,8.2,"Ozone","Closed",1988-11-30
"28","089","0001","Site 0001","WEST HOY RD","Not in a city","Madison","Jackson, MS","Mississippi DEQ, Office Of Pollution",107,32.466253,-90.110642,1978-01-01,4.9,"Ozone","Closed",1982-11-30
"28","089","0002","Site 0002","STATE HWY 22 AT MICROWAVE TOWER","Canton","Madison","Jackson, MS","Mississippi DEQ, Office Of Pollution",91,32.564972,-90.178698,1987-12-07,16.9,"Ozone","Closed",2004-10-31
"28","093","0001","TVA PSD SITE","480 MILL POND ROAD NEAR SLAYDEN, MS","Not in a city","Marshall","Memphis, TN-MS-AR","Tennessee Valley Authority",155,34.955,-89.423,2004-03-01,1,"NO2, Ozone, SO2","Closed",2005-02-28
"28","107","0001","TVA PSD SITE NEAR BATESVILLE, MISSISSIPPI","PANOLA COUNTY AIRPORT, BATESVILLE, MS","Not in a city","Panola",NA,"Tennessee Valley Authority",67,34.359944,-89.890889,1998-04-01,1.7,"NO2, Ozone, PM10, SO2","Closed",1999-12-31
"28","109","0001","SMALL STREET TO THE REAR OF WESTSIDE ELEMENTARY SCHOOL","Small Street  Picayune","Not in a City","Pearl River","Picayune, MS","Mississippi DEQ, Office Of Pollution",0,30.5295,-89.691056,2000-04-06,5.7,"PM2.5","Closed",2005-12-31
"28","121","0001","RANKIN CO HEALTH DEPARTMENT-ROOF","214 OLD BRANDON ROAD","Pearl","Rankin","Jackson, MS","Mississippi DEQ, Office Of Pollution",0,32.275528,-90.132528,1999-03-07,5.9,"PM2.5","Closed",2005-01-31
"28","123","0001","ROOSEVELT PARK ENTRANCE NEXT TO OBSERVATION TOWER","Old Hwy 13  Roosevelt Park","Not in a City","Scott",NA,"Mississippi DEQ, Office Of Pollution",0,32.32,-89.666667,1999-08-22,6.4,"PM2.5","Closed",2005-12-31
"28","125","0001","Site 0001","HWY 61 N, MS NAT GUARD ARMORY","Not in a city","Sharkey",NA,"Mississippi DEQ, Office Of Pollution",0,32.902906,-90.875101,1993-03-01,4.7,"Ozone","Closed",1997-10-31
"28","149","0003","Site 0003","US WATERWAYS EXP STA HALLS FERRY RD.","Vicksburg","Warren","Vicksburg, MS","Mississippi DEQ, Office Of Pollution",53,32.297955,-90.865944,1973-01-01,5,"NO2, SO2","Closed",1977-12-31
"28","149","0004","Site 0004","1000 Lee St.","Vicksburg","Warren","Vicksburg, MS","Mississippi DEQ, Office Of Pollution",65,32.32298,-90.887216,1978-01-01,28,"NO2, Ozone, PM10, PM2.5, SO2","Closed",2005-12-31
"28","149","0721","Site 0721","102 LEE ST.","Vicksburg","Warren","Vicksburg, MS","Mississippi DEQ, Office Of Pollution",0,32.322091,-90.888161,1983-04-01,7.7,"Ozone","Closed",1990-11-30
"28","151","0002","Site 0002","TOUM'S ALLEY","Greenville","Washington","Greenville, MS","Mississippi DEQ, Office Of Pollution",41,33.406816,-91.057896,1974-01-01,6,"SO2","Closed",1979-12-31
"28","151","0003","Site 0003","623 E UNION ST","Greenville","Washington","Greenville, MS","Mississippi DEQ, Office Of Pollution",38,33.410394,-91.040662,1991-01-01,8.2,"PM10","Closed",1999-03-31
"28","155","1001","Site 1001","Natchez Trace Parkway","Not in a City","Webster",NA,"National Park Service",94,33.6636,-89.0622,2006-04-11,2.5,"Ozone","Closed",2008-09-30
"28","161","8001","Site 8001","YALOBUSHA USFS WORK CENTER, MS SR7","Not in a city","Yalobusha",NA,"Mississippi DEQ, Office Of Pollution",134,34.00289,-89.800088,1989-01-01,8,"Ozone","Closed",1996-12-30
"28","161","9991","Coffeeville","Jamie L. Whitten Plant Materials Center, Coffeeville, MS 38922","Not in a City","Yalobusha",NA,"USEPA - Clean Air and Power Division",134,34.002747,-89.799183,1990-01-01,36.3,"Ozone","Active",NA
"28","163","0001","Site 0001","930 LAMAR AVE.","Yazoo City","Yazoo","Jackson, MS","Mississippi DEQ, Office Of Pollution",35,32.859299,-90.407591,1977-01-01,4,"NO2","Closed",1980-12-31
